[00:00.000 --> 00:02.000]  We've got it
[01:13:32.200 --> 01:13:40.760]  exist they send automated robot crawlers in to pull you out of the underground parking garages
[01:13:40.760 --> 01:13:47.240]  and and your basements you're not flying around wearing tinfoil outfits in the system okay
[01:13:49.800 --> 01:13:56.280]  looking at it the only answer there is is they're just passing out all these bio weapons like
[01:13:56.280 --> 01:14:03.160]  like like dumb dumb suckers at the barber they're handing them out to any government
[01:14:03.160 --> 01:14:07.960]  putting the full ingredients the full breakdown how to make all this stuff on the internet
[01:14:08.600 --> 01:14:12.280]  because i guess in their weird sick way they're just going to
[01:14:14.440 --> 01:14:21.800]  let someone else produce it or leak it or have a mistake or claim a terrorist got it and i've seen
[01:14:21.800 --> 01:14:28.440]  that in other models 2000 foot mouth weaponized england i could tell it was a government operation
[01:14:29.080 --> 01:14:34.440]  how i'll give you a data point in a moment several data points but i knew
[01:14:36.760 --> 01:14:41.080]  that that was weaponized because in a two-day period it popped up from scotland
[01:14:41.080 --> 01:14:47.880]  to southern england at hundreds of ranches hundreds of farms they don't you don't have
[01:14:47.880 --> 01:14:53.800]  a a foot mouth pop up and show up all over the place at once unless it was governmental or major
[01:14:53.800 --> 01:14:59.560]  corporate launched and sure enough about a year after it happened they killed eight million sheep
[01:14:59.560 --> 01:15:06.120]  four million cows used it to take over have government control try to break the farms in in in
[01:15:06.120 --> 01:15:11.480]  in the uk it came out in the government the bbc and other publications said we believe in animal
[01:15:11.480 --> 01:15:16.120]  rights activists who doesn't believe in domesticated animals at this particular
[01:15:16.120 --> 01:15:22.360]  zoological level four bioweapons facility must have stolen it but that's impossible one man one
[01:15:22.360 --> 01:15:29.080]  woman or even a group of a few dozen terrorists couldn't get that all over the uk and have it all
[01:15:29.080 --> 01:15:33.640]  pop up on a two-day period with a government announcement pr on top of it that's another
[01:15:33.640 --> 01:15:42.600]  data point the slickness of the announcement but the issue here is that they're probably going to
[01:15:42.600 --> 01:15:47.720]  let a low-level group release some airborne system that kills the majority of those that come in
[01:15:47.720 --> 01:15:53.320]  contact with it as the excuse to have the bio clamp down police state so they can then release
[01:15:53.320 --> 01:15:57.800]  something even more deadly later and i think i've just answered my question right there but they're
[01:15:57.800 --> 01:16:05.800]  passing it all out hi folks this is alex jones i'm looking for people that have the wisdom to spot
[01:16:05.800 --> 01:16:11.800]  savings opportunity and recognize risk saving means to make money the cow ben pure soap company
[01:16:11.800 --> 01:16:16.440]  can save you thousands of dollars and give you good old-fashioned real soaps that are triple
[01:16:16.440 --> 01:16:21.800]  concentrated and twice as good as what you're using now soaps made from vegetable and coconut
[01:16:21.800 --> 01:16:28.120]  oils that contain no useless dyes perfumes deodorants or antibacterials your risk is the
[01:16:28.120 --> 01:16:34.280]  hundreds of hazardous toxic detergents that give you rashes itching sores and deteriorating clothing
[01:16:34.280 --> 01:16:38.760]  called lint if you want something better if you want something you've never had before you have to
[01:16:38.760 --> 01:16:45.400]  do something you've never done before getting a free catalog is easy by calling 800 340 7091
[01:16:45.400 --> 01:16:51.400]  or see calvin on the web at five star soap.com take charge of your health now by calling 800
[01:16:51.400 --> 01:16:56.680]  340 7091 or see calvin on the web at five star soap.com
[01:17:00.360 --> 01:17:05.000]  hi this is alex jones did you know that the global elite are now storing non-hybrid seeds
[01:17:05.000 --> 01:17:09.080]  and secret storage vaults near the arctic circle did you know that in a real meltdown
[01:17:09.080 --> 01:17:13.640]  non-hybrid seeds can become more valuable than silver or gold it's true seeds have outperformed
[01:17:13.640 --> 01:17:17.800]  even gold and silver before in this country and it's possible that could even happen again
[01:17:17.800 --> 01:17:23.080]  so our friends at solutions from science have put together the perfect mix of non-hybrid seeds
[01:17:23.080 --> 01:17:29.000]  they call it a survival seed bank and it can produce an endless supply of nutrient-dense food
[01:17:29.000 --> 01:17:33.560]  for you and your family and here's the best part these seeds have not been genetically modified in
[01:17:33.560 --> 01:17:38.760]  any way and you actually get enough seeds to plant a full acre crisis garden so visit them
[01:17:38.760 --> 01:17:44.360]  today at survivalseedbank.com that's survivalseedbank.com or give them a call at
[01:17:44.360 --> 01:17:56.120]  877-327-0365 that's 877-327-0365 remember in a real crisis non-hybrid seeds are the ultimate
[01:17:56.120 --> 01:18:02.520]  barter item this is alex jones for survivalseedbank.com you've heard alex explain how the
[01:18:02.520 --> 01:18:07.080]  silver lungs generator infuses the respiratory system with your self-produced colloidal silver
[01:18:07.080 --> 01:18:11.720]  solutions yet many are unaware of the entire function of the silver lung system and how it
[01:18:11.720 --> 01:18:17.240]  has been designed to deliver your silver solutions anywhere in or on the body my name is mario
[01:18:17.240 --> 01:18:22.600]  sefaldi and i'm the developer of the silver lungs generator not only does the silver lung system
[01:18:22.600 --> 01:18:27.160]  produce endless colloidal and ionic silver solutions it also comes equipped with the
[01:18:27.160 --> 01:18:33.240]  proper applicators and devices needed to deliver your silver solutions directly to key target areas
[01:18:33.960 --> 01:18:41.320]  this includes the eyes ears nose lungs topically to the skin and orally for the digestive system
[01:18:41.880 --> 01:18:49.160]  be sure to watch our new seven minute video tour of the silver lung system at www.silverlungs.com
[01:18:49.160 --> 01:18:54.680]  to learn more about how the silver lung system works as well we are always ready to answer any
[01:18:54.680 --> 01:19:02.760]  questions you may have that's www.silverlungs.com did you ever think you'd be where you are a decade
[01:19:02.760 --> 01:19:08.840]  into the 21st century record foreclosure rates for homes if not yours your neighbors thankful
[01:19:08.840 --> 01:19:14.360]  for the unemployment check since you were laid off and placing your child's name on the angel tree
[01:19:14.360 --> 01:19:19.880]  in hopes of a christmas gift along with thousands of other americans did you ever think your future
[01:19:19.880 --> 01:19:26.120]  would feel this out of control the fact is in all this craziness there's only one thing you can
[01:19:26.120 --> 01:19:33.160]  control your greatest dependency your food supply make 2012 the year you take control by getting
[01:19:33.160 --> 01:19:39.320]  prepared e-foods direct introduces the best way to build your food supply in the 21st century get
[01:19:39.320 --> 01:19:47.160]  a 21-day supply of food free with purchase call 800-409-5633 or go to efoods direct.com forward
[01:19:47.160 --> 01:19:55.320]  slash alex take back control in 2012 call 800-409-5633 or go to efoods direct.com forward
[01:19:55.320 --> 01:20:04.280]  slash alex remember you can bet your life on efoods direct coast to coast direct from austin
[01:20:04.280 --> 01:20:18.600]  you're listening to the alex jones broadcasting network
[01:20:25.240 --> 01:20:28.760]  look here's the point i'm trying to get at and then i'll like go to the news
[01:20:28.760 --> 01:20:33.640]  and take your phone calls coming up i'll give the number out
[01:20:37.320 --> 01:20:45.720]  we as a society have obviously let technology grow at a pace that way outstrips our ability
[01:20:45.720 --> 01:20:54.520]  to even understand it as individuals and the central controllers of our society are idiot
[01:20:54.520 --> 01:21:05.000]  savants they know how to basically juggle the data to a certain extent and by controlling the
[01:21:05.000 --> 01:21:10.920]  overall capital feeds they can buy up and steer development in a direction they want
[01:21:13.240 --> 01:21:19.000]  but in all the globalist publications and you can pull these up all they talk about is establishing
[01:21:19.000 --> 01:21:26.280]  a world government and then forcibly reducing our population by at least 80 percent and those
[01:21:26.280 --> 01:21:33.720]  aren't idle threats by ted turner or dr eric pianka university of texas biology department or
[01:21:33.720 --> 01:21:39.160]  peter singer at princeton or prince philip or prince charles or the club of rome or
[01:21:39.160 --> 01:21:44.840]  the un biological diversity assessment 1996 or mori strong
[01:21:44.840 --> 01:21:49.000]  and anybody who's gone to college knows you've been fed this line about humans being a parasite
[01:21:49.000 --> 01:21:53.080]  we got to reduce the numbers this is the religion of those that run the club
[01:21:55.080 --> 01:22:01.800]  my point is they really intend to try to carry it out all of the the jacking poison in the water
[01:22:01.800 --> 01:22:09.720]  and cancer viruses and the vaccines and bistrenol a to reduce your fertility estrogen mimicers
[01:22:09.720 --> 01:22:15.800]  all of that is just macabre beta testing in this thing
[01:22:19.400 --> 01:22:23.080]  i mean where people are poor and don't have media and can't stand up for themselves
[01:22:23.960 --> 01:22:30.120]  in africa latin america and asia i mean every day i see articles we could pull them up you know 15
[01:22:30.120 --> 01:22:38.200]  babies die an illegal vaccine test 31 of 50 homeless in poland given shots and so on and so
[01:22:38.200 --> 01:22:47.560]  on homeless in poland given shot die cbs news government polio vaccine program causing polio
[01:22:47.560 --> 01:22:52.840]  and i just look at it and if you're a new listener and you were joining us during the last segment
[01:22:52.840 --> 01:23:00.520]  and i'm talking about weaponized super viruses i mean here's the boston club today
[01:23:02.360 --> 01:23:06.280]  and i really should be more positive because at least this stuff's being somewhat discussed now
[01:23:06.280 --> 01:23:14.920]  scientists pause research with lab-bred bird flu it's a super contagious airborne
[01:23:15.960 --> 01:23:20.760]  highly lethal bird flu ap reports again posted in the boston club
[01:23:23.800 --> 01:23:28.360]  scientists who created easier to spread versions of the deadly bird flu said yesterday that they
[01:23:28.360 --> 01:23:33.800]  are temporarily halting more research as international specialists debate what should
[01:23:33.800 --> 01:23:40.840]  happen next now the fbi as you know a month ago told them do not publish as you did with mousepox
[01:23:40.840 --> 01:23:49.160]  and an airborne ebola and the rest of it do not publish how you made it because in the case of
[01:23:49.160 --> 01:23:57.960]  mousepox that kills 99 of whatever mammal you tailor it for that that was published
[01:23:57.960 --> 01:24:08.200]  a couple hundred thousand dollars and you've got the right biochemist you can make it
[01:24:09.960 --> 01:24:14.760]  and it's public do you think the fbi spies on the internet because they're scared of somebody with
[01:24:14.760 --> 01:24:19.320]  the anarchist cookbook only thing they'll do with that's blow your hand off
[01:24:19.320 --> 01:24:27.800]  we can survive provocateurs idiots numskulls you know bombing a bank or
[01:24:27.800 --> 01:24:33.000]  something and killing three people it's a tragedy but it won't kill billions
[01:24:37.560 --> 01:24:42.680]  and you see some of the higher level academics will say well alex they're setting up a global
[01:24:42.680 --> 01:24:50.520]  technocracy to stop the release of this stuff no it's the technocrats that are making sure
[01:24:51.160 --> 01:24:59.880]  that they have weaponized viruses hundreds of them in level two facilities where you wear gloves and
[01:24:59.880 --> 01:25:06.760]  a mask and swipe a card and a door opens you're supposed to have level four bio weapons in
[01:25:06.760 --> 01:25:13.480]  underground bases three levels down with three fences with minefields and machine gun nest
[01:25:16.200 --> 01:25:17.400]  i mean that's federal law
[01:25:21.800 --> 01:25:28.040]  you ever seen the andromeda strain that's of course a great medical doctor and writer who
[01:25:28.040 --> 01:25:32.840]  put that together it's fiction but it's based on real level four facilities that's a level four
[01:25:32.840 --> 01:25:42.760]  facility in fact in the old days when they were messing with stuff like this they reportedly had
[01:25:42.760 --> 01:25:48.920]  hydrogen bombs buried under them because let me explain something if this stuff gets out
[01:25:50.360 --> 01:25:53.640]  almost everyone listening to my voice is dead
[01:25:53.640 --> 01:26:01.960]  and i want to know why the people running the world today
[01:26:05.480 --> 01:26:08.760]  are putting level four human and zoological diseases
[01:26:11.320 --> 01:26:14.920]  in level two facilities like the university of texas at galveston
[01:26:17.320 --> 01:26:21.000]  when they first built it eight years ago i said it could be hit by a hurricane
[01:26:21.000 --> 01:26:28.280]  did you know it was hit by a hurricane and pretty much destroyed they claimed that they got the
[01:26:28.280 --> 01:26:37.320]  viruses out before it hit again i know this is a lot more important than the nfl playoffs that's
[01:26:37.320 --> 01:26:46.360]  why i'm here and i see a global elite running around 24 7 with private bunkers and government
[01:26:46.360 --> 01:26:52.200]  bunkers and big corporate bunkers and and and talking about how great it's going to be the age
[01:26:52.200 --> 01:26:57.480]  after humans and how the world's going to come back and the futurists say they'll only be a few
[01:26:57.480 --> 01:27:03.640]  hundred thousand elitist and then it'll be this wonderful age where they repopulate the world and
[01:27:03.640 --> 01:27:09.640]  build it however they want and they're just like somebody hyping themselves up to jump off a cliff
[01:27:09.640 --> 01:27:14.840]  300 feet into water they're just getting themselves hyped up to release it and then
[01:27:14.840 --> 01:27:21.720]  creating a weird pre-nostalgia with all these tv shows and stuff about all humans are about to die
[01:27:21.720 --> 01:27:27.560]  and fake self-fulfilling 2012 prophecy garbage and they got the churches saying praise god it's
[01:27:27.560 --> 01:27:32.040]  the end of the world and all this stuff it doesn't have to be the end of the world if we wake up to
[01:27:32.040 --> 01:27:37.240]  what's happening because they're not up to the point of their entire military being robot and
[01:27:37.240 --> 01:27:44.520]  drone the globalists cannot carry this out yet by themselves they're going to need people that work
[01:27:44.520 --> 01:27:48.040]  for the system to carry this out they're not in complete control
[01:27:50.360 --> 01:27:52.760]  i'm on well over 100 radio stations
[01:27:54.920 --> 01:28:00.040]  just on video streaming sites a week it's over five million people now
[01:28:01.640 --> 01:28:05.000]  watching and listening to the show a week just just on video streams on
[01:28:05.000 --> 01:28:11.240]  youtube and some other platforms i mean we're we're challenging the globalists
[01:28:11.240 --> 01:28:18.120]  we weren't in their equation because there's not very many of them maybe a few thousand that have
[01:28:18.120 --> 01:28:24.200]  most of the puzzle a few hundred that know it all and i know why it's so hard for people to
[01:28:24.200 --> 01:28:32.600]  understand this because it's so diabolical i'm gonna give the number out last week i took pretty
[01:28:32.600 --> 01:28:36.040]  much calls for two hours today we're just taking them in the last few segments and i haven't even
[01:28:36.040 --> 01:28:43.160]  got to the news yet because all the other news is secondary to this total free number to join us
[01:28:44.120 --> 01:28:49.160]  eight seven seven seven eight nine alex eight seven seven seven eight nine two five three
[01:28:49.160 --> 01:28:55.000]  nine i hope you'll call in on the subject i've raised the future of humanity and the main threats
[01:28:55.000 --> 01:29:04.200]  we face all right the big news straight ahead when you're out on the road the last place you
[01:29:04.200 --> 01:29:12.120]  want to be is on the road but if the unfortunate happens you'll be glad you were wearing diamond
[01:29:12.120 --> 01:29:19.720]  gussets there's a place down in tennessee where they make blue diamond gusset jeans
[01:29:21.640 --> 01:29:28.040]  they so pride in every stitch guarantee you love the way they fit
[01:29:28.040 --> 01:29:37.560]  and put a diamond gusset in the crotch where you need it most blue diamond gusset's got it
[01:29:39.800 --> 01:29:46.600]  we turn jeans inside out diamond gusset jeans made in the usa with unparalleled quality
[01:29:46.600 --> 01:29:50.840]  our defender motorcycle jeans combine gusset comfort with kevlar protection
[01:29:50.840 --> 01:29:57.640]  so you can ride all day with confidence order yours at gusset.com diamond gusset jeans
[01:29:57.640 --> 01:30:04.600]  got it others don't you may be arrested and or subject to other police action
[01:30:04.600 --> 01:30:11.400]  tyranny is here the grim future foretold in 1984 has become reality it really says that the state
[01:30:11.400 --> 01:30:16.360]  is god the united states is now recognized globally as one of the most oppressive police
[01:30:16.360 --> 01:30:22.440]  states on earth this film conclusively proves the existence of a secret network of fema camps
[01:30:22.440 --> 01:30:27.880]  now being expanded nationwide this documentary exposes how the continuity of government program
[01:30:27.880 --> 01:30:32.600]  has established an all-powerful shadow state police state four chronicles the sickening
[01:30:32.600 --> 01:30:39.000]  depth to which our republic has fallen prepare to enter the secretive world of emergency dictatorship
[01:30:39.000 --> 01:30:45.160]  body scanners sound cameras citizen spies stage terror and cameras on every street corner it's
[01:30:45.160 --> 01:30:51.000]  only the beginning of the new world order's hellish plan the police state isn't coming it's here
[01:30:51.000 --> 01:30:57.960]  secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv
[01:31:00.840 --> 01:31:05.720]  hi folks this is alex jones i'm looking for people that have the wisdom to spot savings
[01:31:05.720 --> 01:31:11.000]  opportunity and recognize risk saving means to make money the cow been pure soap company
[01:31:11.000 --> 01:31:15.400]  can save you thousands of dollars and give you good old-fashioned real soaps that are
[01:31:15.400 --> 01:31:20.520]  triple concentrated and twice as good as what you're using now soaps made from vegetable
[01:31:20.520 --> 01:31:26.520]  and coconut oils that contain no useless dyes perfumes deodorants or antibacterials
[01:31:26.520 --> 01:31:32.200]  your risk is the hundreds of hazardous toxic detergents that give you rashes itching sores
[01:31:32.200 --> 01:31:36.680]  and deteriorating clothing called lint if you want something better if you want something you've
[01:31:36.680 --> 01:31:41.480]  never had before you have to do something you've never done before getting a free catalog is easy
[01:31:41.480 --> 01:31:49.640]  by calling 800-340-7091 or see calvin on the web at fivestarsoap.com take charge of your health now
[01:31:49.640 --> 01:31:55.960]  by calling 800-340-7091 or see calvin on the web at fivestarsoap.com
[01:32:20.200 --> 01:32:26.760]  feel this out of control the fact is in all this craziness there's only one thing you can control
[01:32:26.760 --> 01:32:33.880]  your greatest dependency your food supply make 2012 the year you take control by getting prepared
[01:32:33.880 --> 01:32:39.960]  efoods direct introduces the best way to build your food supply in the 21st century get a 21
[01:32:39.960 --> 01:32:47.160]  day supply of food free with purchase call 800-409-5633 or go to efoods direct.com forward
[01:32:47.160 --> 01:32:55.320]  slash alex take back control in 2012 call 800-409-5633 or go to efoods direct.com forward
[01:32:55.320 --> 01:33:04.360]  slash alex remember you can bet your life on efoods direct coast to coast direct from austin
[01:33:04.360 --> 01:33:18.760]  you're listening to the alex jones broadcasting network
[01:33:21.480 --> 01:33:26.280]  okay nate bobby jason many others we're going to get to your calls after i go over some of the news
[01:33:26.280 --> 01:33:40.520]  now but here's the associated press scientists pause research on basically weaponized lab-bred
[01:33:40.520 --> 01:33:51.080]  bird flu fears raised over lab-bred airborne strains but notice the main concern is here out
[01:33:51.080 --> 01:34:03.240]  of cbs news in dallas dallas plant investigated for dumping pig blood into trinity river and they
[01:34:03.240 --> 01:34:09.320]  think that some pig blood out of a slaughterhouse might have run out and dripped in a creek and
[01:34:09.320 --> 01:34:15.080]  gotten into the river oh my gosh we're all in so much trouble and i'm not saying that that isn't
[01:34:15.080 --> 01:34:23.240]  important but compared to airborne weapons that under government contracts these universities and
[01:34:23.240 --> 01:34:33.000]  others are producing where are the priorities you know who's concerned about gmo from monsanto and
[01:34:33.000 --> 01:34:42.040]  others infecting every soybean every corn every wheat every maize variety as they are and then in
[01:34:42.040 --> 01:34:48.200]  all the big studies organ failure in the rats that eat it and so it goes and infects all the
[01:34:48.200 --> 01:34:54.440]  other seed lines and that's not a problem but a couple you know some blood might have gotten a
[01:34:54.440 --> 01:35:03.560]  river though you know we're all really scared right now that pig blood that's the type of issue
[01:35:03.560 --> 01:35:09.000]  that we're talking about here while we're worried about something like that the big mega corporations
[01:35:09.000 --> 01:35:13.160]  who've basically written the laws and regulations and their people are over all the regulatory
[01:35:13.160 --> 01:35:20.360]  agencies they're not even getting looked at talking about arrogance you know that cruise line
[01:35:20.360 --> 01:35:29.240]  disaster i got a story here out of the london telegraph costa concordia insulting crews offered
[01:35:29.240 --> 01:35:41.400]  to survivors they've offered them a 30 off on their next cruise oh that's funny that is really
[01:35:41.400 --> 01:35:48.600]  really funny isn't that owned by carnival cruise lines yeah i saw that in the news costa concordia
[01:35:48.600 --> 01:35:57.320]  but it's it's like a sub-corporation you know that captain's learned from bagdad bob and our
[01:35:57.320 --> 01:36:03.800]  own criminal government's baloney propaganda spin machine uh when the when the italian coast guard
[01:36:03.800 --> 01:36:08.440]  ordered him to get back onto the ship and help people get off uh it turned out he ordered dinner
[01:36:08.440 --> 01:36:14.200]  on the lifeboat though he was having a drink he said oh i fell in the lifeboat on accident but i'm
[01:36:14.200 --> 01:36:21.320]  not going back and see if you question an authority figure that's called conspiracy theory we've all
[01:36:21.320 --> 01:36:28.840]  been taught that virtue to never question government or big corporations in fact they should
[01:36:28.840 --> 01:36:34.200]  have just said the whole wreck was a conspiracy theory just the ships they are sinking on the
[01:36:34.200 --> 01:36:39.560]  coast of italy just say it didn't happen and if people show video just say it's not there
[01:36:41.240 --> 01:36:45.320]  kind of like i can prove that al-qaeda works for the criminals that run our government
[01:36:45.320 --> 01:36:49.720]  that all the major terrorists have been let into the us and are protected from the underwire bomber
[01:36:49.720 --> 01:36:55.800]  on christmas day to amiral al-laki hanging off the pentagon but but none of that matters it's
[01:36:55.800 --> 01:37:03.160]  a conspiracy theory so just say the ship never capsized never listed and isn't there just say
[01:37:03.160 --> 01:37:08.200]  italy doesn't exist because after all remember carl rove's quote about how he controls reality
[01:37:10.840 --> 01:37:14.440]  and you've got a public that sees it as a virtue to get conned a
[01:37:14.440 --> 01:37:21.720]  virtue to get hurt a virtue to follow all this pablum hey look at this one out of politico
[01:37:23.320 --> 01:37:27.080]  federal prosecutor to take the fifth amendment and fast and furious probe
[01:37:27.080 --> 01:37:33.480]  oh it's the prosecutors the guys that get the bad guys the guys that get 98 percent conviction right
[01:37:33.480 --> 01:37:38.040]  do you really think 98 percent of people are guilty no the the the for at least 20 years
[01:37:38.040 --> 01:37:43.880]  uh almost all the federal grand juries are criminals who would send a one-year-old to the
[01:37:43.880 --> 01:37:52.360]  gas chamber if told to i mean they will convict anyone they're told to okay because who runs
[01:37:53.240 --> 01:37:57.080]  these grand juries they're not supposed to but it's the prosecutors
[01:37:57.800 --> 01:38:02.760]  and of course it was all in federal filings a year plus ago that's why they came up with
[01:38:02.760 --> 01:38:09.800]  a cover story of oh we just had some guns at some gun shops in texas and uh and in arizona
[01:38:09.800 --> 01:38:17.160]  and illinois and some other states we just had some guns that we were letting be sold to track
[01:38:17.160 --> 01:38:21.640]  them down to mexican drug gangs of course the federal documents from the beginning in federal
[01:38:21.640 --> 01:38:27.720]  court that the government declared national security on was that our criminal government
[01:38:27.720 --> 01:38:33.240]  you know the thing run by the ponzi scheme banks that don't worry you're gonna destroy everything
[01:38:33.240 --> 01:38:37.800]  and and don't worry yuppies you like to get hurt you're gonna get hurt so just giggle at the radio
[01:38:37.800 --> 01:38:41.560]  have fun don't worry you'll get everything you want it's all real funny to laugh people that
[01:38:41.560 --> 01:38:49.080]  are informed uh they um they said it was to blame the second amendment and of course i told you that
[01:38:49.080 --> 01:38:53.800]  over a year ago but cbs news two months ago reported that oh sure enough the federal documents
[01:38:53.800 --> 01:38:59.800]  have now come out in subpoena that it was all meant to blame the second amendment the of course
[01:38:59.800 --> 01:39:05.320]  that was domestically internationally it was to ship guns into mexico but also texas chicago
[01:39:05.320 --> 01:39:12.120]  indiana florida to give it to drug gangs that were shooting and killing the other drug gangs
[01:39:12.120 --> 01:39:19.400]  that weren't laundering their money through big u.s banks which means globalist banks remember uh
[01:39:19.400 --> 01:39:29.160]  walkovia wels fargo 376 billion last year they reported on in a two-year period
[01:39:32.120 --> 01:39:35.800]  oh but don't worry they paid a hundred and ten million dollars fine
[01:39:37.240 --> 01:39:42.360]  we did the math on that once it's like something like point zero three percent or something
[01:39:42.360 --> 01:39:51.400]  so i mean why shouldn't they go for broke why shouldn't they do something new why shouldn't
[01:39:52.120 --> 01:39:59.000]  and again they say that in the land of crazy people the same person is the nut or they say
[01:39:59.000 --> 01:40:06.440]  in the uh land of the blind the one-eyed man is king maybe i am the crazy one maybe i am the bad
[01:40:06.440 --> 01:40:12.920]  one because see when the whole government's corrupt at the top and you got a bunch of naive
[01:40:12.920 --> 01:40:18.200]  sheep below them that enjoy being hurt and think it's cute and you're winning to repeat what they're
[01:40:18.200 --> 01:40:26.760]  told talk show hosts and others that if you here's an example if you wanted to arrest a communist or
[01:40:26.760 --> 01:40:33.240]  a jew or a seventh-day adventist or whatever the case was in 1932 germany for no reason and kill
[01:40:33.240 --> 01:40:38.760]  them that would be a felony and you go to prison in germany but see hitler took over and was a
[01:40:38.760 --> 01:40:43.240]  tyrant and said it was legal of course you can't really legalize tyranny and common sense but
[01:40:43.240 --> 01:40:47.720]  if people go along with it you in a way you can and so he could kill tens of millions of people
[01:40:47.720 --> 01:40:53.960]  total and 22 million germans died in the war civilian and military they really got blessed
[01:40:53.960 --> 01:41:00.840]  60 million of them 22 million went bye-bye oh that went well going along they were trendy
[01:41:00.840 --> 01:41:07.960]  uppies too then they did what the radio and newsreels and newspapers said because you know
[01:41:07.960 --> 01:41:12.360]  the terrorists blew up the capital and other stuff of course it was really the nazis but hey it was
[01:41:12.360 --> 01:41:17.320]  fun to get mad fun to get worried about terrorists you know some polish terrorist oh you know they're
[01:41:17.320 --> 01:41:23.400]  all bad oh muslim they're all bad you know it was fun it was fun to have one-third of the germans go
[01:41:23.400 --> 01:41:30.760]  bye-bye yeah one-third of the germans just oh 22 million at the end of the war bye-bye in germany
[01:41:30.760 --> 01:41:41.080]  alone oh that went well that went well but but i forgot how i got on the subject of germany oh
[01:41:41.080 --> 01:41:46.360]  yeah when your government's run by absolute criminals who compete with each other so the
[01:41:46.360 --> 01:41:54.760]  very worst get in to the power structure it's just legal for them to ship guns into mexico
[01:41:54.760 --> 01:41:59.960]  and then blame it on the second amendment and even when they got caught i said last year watch they'll
[01:41:59.960 --> 01:42:04.680]  still use it and you know what they couldn't get congress to pass a law restricting gun sales in
[01:42:04.680 --> 01:42:10.280]  the u.s so they just the atf just sent letters threatening to arrest gun dealers if they sold
[01:42:10.280 --> 01:42:19.560]  the rifles and and you know didn't jump through these new hoops and of course the rifles were
[01:42:19.560 --> 01:42:23.560]  already all registered to the instant check but they didn't care it was about the atf saying
[01:42:24.120 --> 01:42:31.320]  you'll do what we say outside of law kind of like the federal government shutting down power plants
[01:42:31.320 --> 01:42:36.440]  all over the country outside of law congress didn't pass a law but they're doing it obama
[01:42:36.440 --> 01:42:41.560]  is launching wars without congress but congress itself signed a law saying i can be arrested you
[01:42:41.560 --> 01:42:45.320]  can be arrested and disappear forever be tortured be killed it's called the ndaa
[01:42:47.080 --> 01:42:51.880]  and don't worry they will use it and they will abuse it all right i haven't even gotten into
[01:42:54.200 --> 01:42:57.800]  a bunch of other news here but we're gonna come back go to your calls stay with us
[01:42:59.720 --> 01:43:04.120]  this is alex jones with five good reasons you should consider buying a solar power generator
[01:43:04.120 --> 01:43:08.520]  number one new climate legislation could easily double or triple your electric bill
[01:43:08.520 --> 01:43:13.640]  number two our new energy czar wants to control how much power your electric company allows you
[01:43:13.640 --> 01:43:19.080]  to have it's true total government control of electricity in the name of smart grid technology
[01:43:19.080 --> 01:43:24.360]  is coming number three in some areas of the country the power grid is dangerously overloaded
[01:43:24.360 --> 01:43:29.560]  and now new socialist legislation is only compounding the problem number four dangerous
[01:43:29.560 --> 01:43:34.280]  weather is always a threat to local grids every year thousands of families lose their power from
[01:43:34.280 --> 01:43:39.640]  weather related onages number five a solar power generator provides powerful backup insurance and
[01:43:39.640 --> 01:43:44.040]  peace of mind folks i really believe in the solar power generators offered by solution from science
[01:43:44.040 --> 01:43:49.960]  one of my oldest sponsors you can get more information at www.mysolarbackup.com that's
[01:43:49.960 --> 01:43:56.040]  mysolarbackup.com remember the government doesn't own the sun so go to mysolarbackup.com or call
[01:43:56.040 --> 01:44:00.120]  1-877-327-0365
[01:44:02.360 --> 01:44:06.360]  hi folks this is alex jones and i want to tell you about the silver lungs generator
[01:44:06.360 --> 01:44:11.320]  now you can produce pure and endless colloidal silver and deliver the solution directly into
[01:44:11.320 --> 01:44:17.000]  the bloodstream by breathing the solution through the lungs the respiratory system is the first line
[01:44:17.000 --> 01:44:22.600]  of defense for airborne pathogens and viruses the silver lungs generator infuses the respiratory
[01:44:22.600 --> 01:44:28.600]  system with your self-produced nano silver solutions and also delivers the silver nano
[01:44:28.600 --> 01:44:33.800]  particles instantly into the bloodstream with continued legislation threatening the sale of
[01:44:33.800 --> 01:44:39.560]  nano silver products you can now produce pure and endless colloidal silver with the silver
[01:44:39.560 --> 01:44:45.400]  lungs generator very easy to follow step-by-step instructions are provided making production fast
[01:44:45.400 --> 01:44:52.680]  and simple go to www.silverlungs.com today and learn more about the breakthrough technology of the silver
[01:44:52.680 --> 01:44:56.600]  lungs generator that's www.silverlungs.com
[01:45:01.640 --> 01:45:07.720]  hundreds of nations have fallen to tyranny in the last century alone this is our last chance to not
[01:45:07.720 --> 01:45:12.920]  relive history as we're finishing off this agenda they'll be pulling the rug from underneath the
[01:45:12.920 --> 01:45:19.400]  americans at home tremendous influence on our president and congress and they really are calling
[01:45:19.400 --> 01:45:25.800]  the shots i think it's incumbent upon all of us as american citizens to pay attention for the
[01:45:25.800 --> 01:45:32.120]  republic identifies the enemies of our nation the criminal offshore cartel hell bent on destroying
[01:45:32.120 --> 01:45:37.720]  sovereignty and on its ashes constructing world government tim geithner bernanke they're arsonists
[01:45:37.720 --> 01:45:42.280]  they're asking for more matches and the congress is saying who do we make the check out to today
