[00:00.000 --> 00:10.000]  So
[55:27.800 --> 55:38.160]  saying that a, no, test-asized weak manila envelope life with $300 in welfare a month
[55:38.160 --> 55:44.960]  and crime in the streets in a big police state with a bunch of know-it-all professors organizing
[55:44.960 --> 55:47.440]  and running the whole thing is a nightmare to me.
[55:47.440 --> 55:51.040]  And I think if they really look out in the world and get out of their little shells and
[55:51.040 --> 55:55.800]  look to middle America and people that really work for a living, there is the wisdom, there
[55:55.800 --> 55:56.800]  is the wisdom.
[55:56.800 --> 55:58.400]  And I'm just tired of their fear of mongering.
[55:58.400 --> 56:02.400]  I wanted to stop, I wanted a new attitude in America, of people to start fighting back
[56:02.400 --> 56:03.400]  against the corruption.
[56:03.400 --> 56:09.280]  Look at this, we're like 15, 20 miles away from the central eruption point of Mount
[56:09.280 --> 56:13.040]  St. Helens, and people are not running from this, they're living here, they're making
[56:13.040 --> 56:15.480]  livens, and it's just, I'm glad they're doing it.
[56:15.480 --> 56:19.680]  I'm glad they're not letting themselves be cowed into fear by the government and its
[56:19.680 --> 56:22.600]  cronies in the media.
[56:22.600 --> 56:26.720]  Now this park, Olympic National Forest and National Park, is designated.
[56:26.720 --> 56:33.040]  All the beautiful mountains, the rivers, the lakes, everything is all designated UN Biosphere,
[56:33.040 --> 56:36.880]  World Heritage Site, and they have to take a bunch of the rules and regulations from
[56:36.880 --> 56:42.360]  the United Nations, but there is no posting.
[56:42.360 --> 56:46.480]  And as you saw earlier at the Grand Canyon, they attempted to run us off.
[56:46.480 --> 56:50.240]  So what I had heard before we went on this trip is obviously true.
[56:50.240 --> 56:53.280]  They are trying to cover up what's going on.
[56:53.280 --> 56:57.040]  I don't mean the people down at the lower level, they're just ignorant.
[56:57.040 --> 57:00.000]  A lot of things are being signed over, a lot of executive orders that I've already told
[57:00.000 --> 57:01.000]  you about.
[57:01.000 --> 57:02.480]  This is real.
[57:02.480 --> 57:05.760]  And we need to have Senate hearings or something about it.
[57:05.760 --> 57:06.760]  This is a beautiful park.
[57:06.760 --> 57:11.200]  We'll show you some beautiful scenes of the treasures that are falling under UN control
[57:11.200 --> 57:12.200]  more and more.
[57:12.200 --> 57:20.120]  We're looking for the biosphere designation or World Heritage Site plaque, all the parks
[57:20.120 --> 57:24.960]  that have that, have those signs, but we've been unable to find it here.
[57:24.960 --> 57:27.160]  Do you have any idea where those are?
[57:27.160 --> 57:29.160]  I don't know what you're talking about.
[57:29.160 --> 57:30.160]  What are our camera for?
[57:30.160 --> 57:33.160]  No, we're just American citizens out there filming.
[57:33.160 --> 57:36.480]  Biosphere, for the Olympic National Park.
[57:36.480 --> 57:37.480]  Yes, sir.
[57:37.480 --> 57:38.480]  I'm with the U.S. Forest Service.
[57:38.480 --> 57:39.480]  Yeah.
[57:39.480 --> 57:40.480]  Well, that's still Bruce Babbitt, isn't it?
[57:40.480 --> 57:42.480]  He's the Department of Interior.
[57:42.480 --> 57:43.480]  Yeah.
[57:43.480 --> 57:44.480]  Forest Service Department of Agriculture.
[57:44.480 --> 57:45.480]  Yes.
[57:45.480 --> 57:46.480]  Well, we're just curious.
[57:46.480 --> 57:47.480]  Could you share an office?
[57:47.480 --> 57:48.480]  Yeah.
[57:48.480 --> 57:49.480]  What did you want to know for?
[57:49.480 --> 57:50.480]  Is it okay to know?
[57:50.480 --> 57:56.320]  Is it on our information, on the information on it?
[57:56.320 --> 57:57.320]  On the information?
[57:57.320 --> 57:58.320]  No, but they have them everywhere.
[57:58.320 --> 58:02.080]  They're down the U.N. signs at a couple parks.
[58:02.080 --> 58:03.080]  Mammoth Cave, they took them down.
[58:03.080 --> 58:06.480]  People didn't like the Baby Blue U.N. signs too much.
[58:06.480 --> 58:08.840]  We're just trying to find just the plaques.
[58:08.840 --> 58:12.440]  We're going all over the country categorizing the plaques and actually proving to people.
[58:12.440 --> 58:13.440]  I'm sorry, I can't help you.
[58:13.440 --> 58:15.440]  Listen, I really appreciate your help.
[58:15.440 --> 58:16.440]  Okay.
[58:16.440 --> 58:23.640]  It's no surprise to me that the people at the parks acted like we were two-headed demons.
[58:23.640 --> 58:27.080]  I talked to Bruce Babbitt's office and they have been under a lot of heat, and so I'm
[58:27.080 --> 58:30.680]  sure they've told all their people to watch out for people like us.
[58:30.680 --> 58:34.320]  Now we're going to turn back east and go ahead and finish up the second half of our trip.
[58:34.320 --> 58:38.080]  We saw Americans across the nation just trying to enjoy themselves me left alone.
[58:38.080 --> 58:59.080]  To the establishment, we have this to say to you.
[58:59.080 --> 59:02.080]  There are problems in our country, yes, we live in troubled times.
[59:02.080 --> 59:06.080]  There are far too many criminals and far too many crimes.
[59:06.080 --> 59:10.080]  I'm locking every window and I'm folding every door.
[59:10.080 --> 59:14.080]  The tool I use in self-defense will even up the score.
[59:14.080 --> 59:20.080]  You can rant, you can rave, you can make your demands, and you can take my gun from my cold,
[59:20.080 --> 59:29.080]  dead hand.
[59:29.080 --> 59:30.080]  There are global corporations.
[59:30.080 --> 59:32.080]  They have billions that they pay.
[59:32.080 --> 59:36.080]  To the greedy politicians who make sure things go their way.
[59:36.080 --> 59:40.080]  They tax us into poverty and we live from day to day.
[59:40.080 --> 59:42.080]  To them, we're useless eaters.
[59:42.080 --> 59:44.080]  We don't get to have a say.
[59:44.080 --> 59:46.080]  You want to crash this Constitution?
[59:46.080 --> 59:48.080]  Is that what's in your plan?
[59:48.080 --> 59:52.080]  You can take my gun from my cold, dead hand.
[59:52.080 --> 59:57.080]  In every case through history, when genocide was planned, the firearms were gathered up
[59:57.080 --> 59:59.080]  and the opposition banned.
[59:59.080 --> 1:00:03.080]  The tyrants made distractions and the people looked away.
[1:00:03.080 --> 1:00:09.080]  And by the time they realized they couldn't get away, the smiling face on my TV says,
[1:00:09.080 --> 1:00:14.080]  we should all join hands and help create this vision of a new world order plan.
[1:00:14.080 --> 1:00:20.080]  Well, downsize our defenses, give our bases all away to a UN global peace force
[1:00:20.080 --> 1:00:22.080]  and we'll do just what they say.
[1:00:22.080 --> 1:00:25.080]  Take your globalist agenda and your new world order.
[1:00:25.080 --> 1:00:30.080]  And you can take my gun from my cold, dead hand.
[1:00:35.080 --> 1:00:39.080]  Well, we've been talking about something as we drive through Montana,
[1:00:39.080 --> 1:00:42.080]  which has no speed limit, at about 100 miles an hour.
[1:00:42.080 --> 1:00:43.080]  Beautiful.
[1:00:43.080 --> 1:00:49.080]  We've been driving for five or six hours when we left Spokane, Washington this morning.
[1:00:49.080 --> 1:00:52.080]  And something really, really struck us for the first time.
[1:00:52.080 --> 1:00:58.080]  We, even in our hotel rooms on this trip, we've heard the term on TV, vanishing wilderness.
[1:00:58.080 --> 1:00:59.080]  There's no more wilderness.
[1:00:59.080 --> 1:01:00.080]  I got news for you.
[1:01:00.080 --> 1:01:06.080]  Since we left Austin, Texas almost two weeks ago, all we have seen is endless.
[1:01:06.080 --> 1:01:15.080]  As far as the eye can see, 360 degrees around us, nothing but wilderness, endless wilderness.
[1:01:15.080 --> 1:01:19.080]  But these wannabe environmentalists who never even leave the city,
[1:01:19.080 --> 1:01:23.080]  totally are from the international community snatching up our prime real estate.
[1:01:23.080 --> 1:01:25.080]  And where are most of these biospheres located?
[1:01:25.080 --> 1:01:33.080]  Outside big populated areas, outside San Francisco, outside Phoenix, outside big cities.
[1:01:33.080 --> 1:01:38.080]  They snatch up the prime real estate and then 10 years later handed over to corporations.
[1:01:38.080 --> 1:01:40.080]  It's a huge, huge scam.
[1:01:40.080 --> 1:01:43.080]  And you guys are getting conned, okay?
[1:01:43.080 --> 1:01:44.080]  Big time.
[1:01:44.080 --> 1:02:00.080]  We've now reached the north entrance of Yellowstone National Park here in Montana.
[1:02:00.080 --> 1:02:05.080]  And let's just read what the important inscription at the front of this old gate reads.
[1:02:05.080 --> 1:02:14.080]  For the benefit and the enjoyment of the people created by an act of Congress March 1st, 1872.
[1:02:14.080 --> 1:02:17.080]  Well, now we've got a different Congress and a different president.
[1:02:17.080 --> 1:02:22.080]  And with executive orders and other things, they are handing over more and more control of our parks,
[1:02:22.080 --> 1:02:24.080]  this park, namely, to international control.
[1:02:24.080 --> 1:02:29.080]  And Bruce Babbitt is following the international edicts from the United Nations and Costco.
[1:02:29.080 --> 1:02:34.080]  And in about three months from now are preparing to shut down the park to cars to certain areas.
[1:02:34.080 --> 1:02:37.080]  And you will only be able to get there by bus.
[1:02:37.080 --> 1:02:38.080]  And there's more.
[1:02:38.080 --> 1:02:42.080]  They're going to make some of the Park of Wilderness area where people will not be allowed to go.
[1:02:42.080 --> 1:02:45.080]  So it's just wide sweeping what's going on.
[1:02:45.080 --> 1:02:48.080]  Now let's remember what the inscription says.
[1:02:48.080 --> 1:02:54.080]  For the benefit and the enjoyment of the American people that pay to have this park kept up.
[1:02:54.080 --> 1:03:01.080]  Not for the benefit of corrupt international cliques who just want to charge us outrageous rates to use our own land.
[1:03:01.080 --> 1:03:06.080]  It's all about power and it's all about getting you used to doing what they tell you to do.
[1:03:06.080 --> 1:03:08.080]  I think it need to raise hell.
[1:03:08.080 --> 1:03:12.080]  The United Nations has no business telling us how to run our national parks.
[1:03:12.080 --> 1:03:14.080]  And look what they want to do now they're getting control.
[1:03:14.080 --> 1:03:18.080]  They want to restrict your access and make you go to it by bus.
[1:03:18.080 --> 1:03:20.080]  And that's flat wrong.
[1:03:22.080 --> 1:03:26.080]  We dropped by the main visitor center and they sent us over to the main administration building.
[1:03:26.080 --> 1:03:31.080]  We simply wanted to ask what's going on with the United Nations and our parks.
[1:03:31.080 --> 1:03:35.080]  Here you've got existing use motorized.
[1:03:35.080 --> 1:03:39.080]  That means where you can drive your cars and existing non use motorized.
[1:03:39.080 --> 1:03:46.080]  Now we've heard and Bruce Babbitt has stated that they are planning to make the entire park non motorized.
[1:03:46.080 --> 1:03:50.080]  We're trying to find out actually and get the actual letter of the law from them.
[1:03:50.080 --> 1:03:55.080]  So again restrict access to your park.
[1:03:55.080 --> 1:03:57.080]  Hey how you doing?
[1:03:57.080 --> 1:03:59.080]  I saw someone look just like you.
[1:03:59.080 --> 1:04:03.080]  We're going all over the country to an independent film and we're just we've already talked to Bruce Babbitt's office.
[1:04:03.080 --> 1:04:07.080]  And we just wanted to ask questions about the biosphere designation.
[1:04:07.080 --> 1:04:11.080]  You're filming? Do you have a filming permit?
[1:04:11.080 --> 1:04:14.080]  Oh there's a permit? I'm here making my own documentary.
[1:04:14.080 --> 1:04:17.080]  Could you turn off your camera?
[1:04:17.080 --> 1:04:22.080]  I just want to reiterate the fact that everyone was very polite at most of the parks.
[1:04:22.080 --> 1:04:27.080]  But once you would get to a park and get to the main upper level areas.
[1:04:27.080 --> 1:04:31.080]  They were all very rude. They would tell you to turn the camera off. We would.
[1:04:31.080 --> 1:04:37.080]  Then they took us to the back and again threatened us with fines for having a camera in the park.
[1:04:37.080 --> 1:04:40.080]  And I said well I see cameras everywhere and they said well you're a professional aren't you?
[1:04:40.080 --> 1:04:43.080]  And I said well not really. I guess I am.
[1:04:43.080 --> 1:04:46.080]  And then what kind of weirdos are you? Got me back in the office.
[1:04:46.080 --> 1:04:48.080]  Called more of them back there.
[1:04:48.080 --> 1:04:52.080]  I got threatened to be arrested at two places and you just saw how polite I was.
[1:04:52.080 --> 1:04:56.080]  And then they thought that I had a bug hidden on me or something and wouldn't even hardly talk to me back there.
[1:04:56.080 --> 1:05:00.080]  They'd all been advised about dangerous people asking questions.
[1:05:00.080 --> 1:05:04.080]  They acted like a military encampment. It was very very strange.
[1:05:04.080 --> 1:05:09.080]  Someone had prepared them despite the administration not being very helpful.
[1:05:09.080 --> 1:05:15.080]  We did locate the UN signs. Both the International Biosphere and the World Heritage Site documents.
[1:05:15.080 --> 1:05:20.080]  And that's exactly what they are. They're documents of ownership, of control.
[1:05:20.080 --> 1:05:23.080]  They have executive order behind them.
[1:05:23.080 --> 1:05:30.080]  Ah, now there is a good document, an American document from March 1st, 1872,
[1:05:30.080 --> 1:05:34.080]  by an act of Congress that created Yellowstone Park.
[1:05:34.080 --> 1:05:38.080]  And of course it was prominently displayed for everyone to see.
[1:05:38.080 --> 1:05:47.080]  Whereas the UN documents, cast in bronze, were discreetly hidden on the back wall of the theater.
[1:05:47.080 --> 1:05:51.080]  So there you have it. Good documents, documents that they're proud of.
[1:05:51.080 --> 1:05:54.080]  And then the other documents that they hide on the backs of buildings,
[1:05:54.080 --> 1:05:58.080]  or on the back walls of the visitor theater area.
[1:05:58.080 --> 1:06:03.080]  This is a cover up.
[1:06:03.080 --> 1:06:07.080]  We've talked to the Rangers. Now we're going to talk to the common people visiting the park
[1:06:07.080 --> 1:06:11.080]  and ask them what they think about the plans to shut it down to cars,
[1:06:11.080 --> 1:06:14.080]  double prices, and have other restrictions.
[1:06:19.080 --> 1:06:23.080]  It's very scary to see what the top level people here behave like.
[1:06:23.080 --> 1:06:29.080]  And, you know, I guess nobody seems to care anyway,
[1:06:29.080 --> 1:06:31.080]  so I guess it's just what's going to happen now in the country,
[1:06:31.080 --> 1:06:33.080]  is they're going to pretty much take everything from us.
[1:06:33.080 --> 1:06:37.080]  You see, if they can take your parts from it, your national treasures,
[1:06:37.080 --> 1:06:42.080]  if they can restrict access and manipulate you and get you to accept all their lies,
[1:06:42.080 --> 1:06:44.080]  then what can they do next? It goes on and on.
[1:06:44.080 --> 1:06:47.080]  It leads back to private property rights.
[1:06:47.080 --> 1:06:51.080]  And we all know that with the incredible high rate of property taxes in this country now,
[1:06:51.080 --> 1:06:57.080]  in your locales, in your states, that there really is nothing left at this point.
[1:06:57.080 --> 1:07:00.080]  There is no First Amendment, there is no Second Amendment.
[1:07:00.080 --> 1:07:03.080]  It's all being totally eroded of rapid rate.
[1:07:03.080 --> 1:07:06.080]  And once they get private property, it's the last bull work of freedom.
[1:07:06.080 --> 1:07:09.080]  What do you think it's all going to become private in no time at all?
[1:07:09.080 --> 1:07:11.080]  Well, that's kind of how it works.
[1:07:11.080 --> 1:07:13.080]  I mean, is this a stepping stone?
[1:07:13.080 --> 1:07:16.080]  Well, in the name of keeping it sovereign and not private,
[1:07:16.080 --> 1:07:19.080]  some of the Rockefeller entries, the turn of the century,
[1:07:19.080 --> 1:07:21.080]  they started the first environmentalist foundations.
[1:07:21.080 --> 1:07:23.080]  I'm not sure, and most people don't know that,
[1:07:23.080 --> 1:07:27.080]  but a lot of the big foundations were started with money that they put up.
[1:07:27.080 --> 1:07:30.080]  And really, it's a rationale down in southern Mexico, and it's not happening here yet,
[1:07:30.080 --> 1:07:33.080]  but in Yucatan where there's biospheres and World Heritage sites,
[1:07:33.080 --> 1:07:36.080]  they push the Indians off their land, and that's what they are,
[1:07:36.080 --> 1:07:38.080]  they're Indians down there too, the Mayans and people,
[1:07:38.080 --> 1:07:41.080]  they push them off their land under the guise of environmentalism,
[1:07:41.080 --> 1:07:44.080]  give them a little bit of money, they have to go to Mexico City and work like slaves,
[1:07:44.080 --> 1:07:48.080]  and then once they go up there, boom, that's it.
[1:07:48.080 --> 1:07:50.080]  They're all up in the city, and they put up biosphere signs.
[1:07:50.080 --> 1:07:54.080]  And my dad was down there, and he saw biosphere signs,
[1:07:54.080 --> 1:07:57.080]  and he said, oh, that might be good, and like these little ghost towns out in the country,
[1:07:57.080 --> 1:07:59.080]  and like in the woods and the jungle and stuff.
[1:07:59.080 --> 1:08:04.080]  Then he went into a nice hotel, he was staying in it, and saw brochures how to buy biosphere.
[1:08:04.080 --> 1:08:06.080]  So kind of what they do is...
[1:08:06.080 --> 1:08:07.080]  So we're talking about something.
[1:08:07.080 --> 1:08:10.080]  It's just, yeah, they lay down even more corruption down there,
[1:08:10.080 --> 1:08:12.080]  and so it's already happening there.
[1:08:12.080 --> 1:08:13.080]  Right.
[1:08:13.080 --> 1:08:16.080]  And if you look at it, half our debts held by foreign banks, foreign countries.
[1:08:16.080 --> 1:08:17.080]  Right.
[1:08:17.080 --> 1:08:20.080]  So it's the next step towards, you know, ten years it's a biosphere,
[1:08:20.080 --> 1:08:22.080]  then they restrict access.
[1:08:22.080 --> 1:08:26.080]  They say, well, we're going to build a rich condo community here.
[1:08:26.080 --> 1:08:30.080]  What do you think about them restricting and planning in just a few months, they say,
[1:08:30.080 --> 1:08:36.080]  to restrict vehicle access to this park and make everyone pack on buses and double the rates?
[1:08:36.080 --> 1:08:38.080]  No, I don't agree with that.
[1:08:38.080 --> 1:08:39.080]  I think people should be...
[1:08:39.080 --> 1:08:44.080]  I mean, this is a federal agency that runs this, and it's our tax dollars I pay for it.
[1:08:44.080 --> 1:08:47.080]  I'm willing to pay whatever it is to get into the park,
[1:08:47.080 --> 1:08:51.080]  but let me drive my own vehicle and don't ship me in like cattle or whatever.
[1:08:51.080 --> 1:08:53.080]  And that's what it is, they're shipping.
[1:08:53.080 --> 1:08:56.080]  I mean, I've seen so many buses in here, it's incredible.
[1:08:56.080 --> 1:09:00.080]  These tours that are coming in, and that's fine, it's still a private company doing it.
[1:09:00.080 --> 1:09:05.080]  Well, you know it's those private companies lobbying the interior and lobbying Congress and people to do this,
[1:09:05.080 --> 1:09:06.080]  so they make more money.
[1:09:06.080 --> 1:09:08.080]  Okay, well then I guess I don't like it.
[1:09:08.080 --> 1:09:09.080]  Absolutely.
[1:09:09.080 --> 1:09:10.080]  You know, I like...
[1:09:10.080 --> 1:09:13.080]  We brought our kids out here because this is what we were afraid of.
[1:09:13.080 --> 1:09:17.080]  We thought we got to get them out here now before it's gone, and that's why we're here.
[1:09:17.080 --> 1:09:20.080]  That's basically what it boils down to.
[1:09:20.080 --> 1:09:26.080]  And would you say that it's pretty sick and pretty just absolutely ruthless to in the name of the environment,
[1:09:26.080 --> 1:09:30.080]  hijack environmental treasures so you can later subdivide them?
[1:09:30.080 --> 1:09:31.080]  Yeah, I think that's wrong.
[1:09:31.080 --> 1:09:33.080]  Yeah, ruthless is how you put it.
[1:09:33.080 --> 1:09:35.080]  Okay, I'll agree with that.
[1:09:35.080 --> 1:09:36.080]  I totally agree with that.
[1:09:36.080 --> 1:09:42.080]  Talking about shutting down the park to vehicles and making everyone pack on buses to come here.
[1:09:42.080 --> 1:09:43.080]  Don't really.
[1:09:43.080 --> 1:09:44.080]  I don't know.
[1:09:44.080 --> 1:09:45.080]  Alright, thanks for the help.
[1:09:45.080 --> 1:09:46.080]  Have a good one.
[1:09:46.080 --> 1:09:48.080]  I think we need a new interview.
[1:09:48.080 --> 1:09:51.080]  And come in on buses.
[1:09:51.080 --> 1:09:53.080]  Doesn't sound like a very good idea to me.
[1:09:53.080 --> 1:09:54.080]  Well yes, you're the person...
[1:09:54.080 --> 1:09:57.080]  Otherwise I wouldn't be here, you know, if we had to do that.
[1:09:57.080 --> 1:10:00.080]  And you're the person that pays the taxes to upkeep this place.
[1:10:00.080 --> 1:10:02.080]  That's right, yeah.
[1:10:02.080 --> 1:10:05.080]  And the fees get in, of course.
[1:10:05.080 --> 1:10:11.080]  And you know, it's only a first step just to see what the government can do to public lands
[1:10:11.080 --> 1:10:17.080]  and then next private property because it seems like more and more they have their eyes on public property and private property.
[1:10:17.080 --> 1:10:25.080]  Well, they're doing a lot by executive orders you're saying that it shouldn't be done without the voters approval.
[1:10:25.080 --> 1:10:28.080]  And it's like an executive order is almost Admiralty law.
[1:10:28.080 --> 1:10:30.080]  It's like military law.
[1:10:30.080 --> 1:10:33.080]  Well, it doesn't seem like it's the American way, does it?
[1:10:33.080 --> 1:10:37.080]  It seems like that's the way they're doing more or less the communist countries
[1:10:37.080 --> 1:10:41.080]  versus the United States where we vote on things.
[1:10:41.080 --> 1:10:43.080]  Absolutely, I appreciate that, sir.
[1:10:43.080 --> 1:10:44.080]  Y'all are the owners.
[1:10:44.080 --> 1:10:46.080]  I mean, we bought into this whole federal government type deal
[1:10:46.080 --> 1:10:49.080]  and now they're telling us that we can't even use what we supposedly own?
[1:10:49.080 --> 1:10:51.080]  Well, I don't know.
[1:10:51.080 --> 1:10:53.080]  I'd rather...
[1:10:53.080 --> 1:10:58.080]  Turn this over to the United Nations and they got a plaque down at the main central office.
[1:10:58.080 --> 1:11:02.080]  They'll probably be easier just not to think about it.
[1:11:02.080 --> 1:11:05.080]  How come they didn't stare you in the conspiracy theory?
[1:11:05.080 --> 1:11:09.080]  It's not a conspiracy theory. There's a bronze plaque right up there, ma'am.
[1:11:09.080 --> 1:11:11.080]  You see that right there?
[1:11:11.080 --> 1:11:16.080]  It's a Hollywood movie rather than the bronze plaque in the executive order.
[1:11:16.080 --> 1:11:19.080]  That is what's wrong with America, ladies and gentlemen.
[1:11:19.080 --> 1:11:24.080]  People have been taught bread from a foot tall, absolutely not to care,
[1:11:24.080 --> 1:11:29.080]  while they're being raided by the government which is controlled by corrupt corporations.
[1:11:29.080 --> 1:11:31.080]  And when I say that, I mean the top 20.
[1:11:31.080 --> 1:11:34.080]  But people think as rich as a joke in this country.
[1:11:34.080 --> 1:11:36.080]  They think a nice house, a nice car is wealthy.
[1:11:36.080 --> 1:11:40.080]  And that's why it's so easy for the establishment to manipulate people.
[1:11:40.080 --> 1:11:43.080]  So well-informed people would talk to us and knew of the executive orders.
[1:11:43.080 --> 1:11:44.080]  Not only a few.
[1:11:44.080 --> 1:11:47.080]  And they're probably the people who've actually done well economically
[1:11:47.080 --> 1:11:49.080]  because they were able to sift through the lies.
[1:11:49.080 --> 1:11:52.080]  But the rest of America seems to love being conned.
[1:11:52.080 --> 1:11:56.080]  It's like they get into being lied to and they get an incredible thrill out of the whole thing.
[1:11:56.080 --> 1:11:58.080]  That is painful to me.
[1:11:58.080 --> 1:12:00.080]  That's why I'll continue to make these documentaries.
[1:12:00.080 --> 1:12:03.080]  I will continue to rant and rave on the radio about factual information.
[1:12:03.080 --> 1:12:08.080]  And if people don't have the inner strength to rise up to a threat far and domestic
[1:12:08.080 --> 1:12:12.080]  and stand up for U.S. sovereignty, then I feel really, really sorry for them.
[1:12:12.080 --> 1:12:15.080]  Because that's where we are in America today.
[1:12:15.080 --> 1:12:16.080]  We are under siege.
[1:12:16.080 --> 1:12:19.080]  We're losing our property rights as we speak.
[1:12:19.080 --> 1:12:20.080]  Y'all heard the news?
[1:12:20.080 --> 1:12:22.080]  They got a plaque up there.
[1:12:22.080 --> 1:12:24.080]  This has been signed over to United Nations Control.
[1:12:24.080 --> 1:12:27.080]  But some ladies said, I've seen the movie Conspiracy Theory.
[1:12:27.080 --> 1:12:29.080]  She won't go look at the plaque up at the front business center.
[1:12:29.080 --> 1:12:30.080]  That'd be too hard.
[1:12:30.080 --> 1:12:46.080]  She'll just say, oh, another conspiracy theorist.
[1:12:46.080 --> 1:12:51.080]  We're now inside the Rocky Mountain National Park here in Central Colorado.
[1:12:51.080 --> 1:12:55.080]  A very, very beautiful park with mountains and streams and creeks.
[1:12:55.080 --> 1:13:01.080]  And here is a map in front of you of the area that is being taken over by the United Nations
[1:13:01.080 --> 1:13:05.080]  and other international groups now that President Clinton has been
[1:13:05.080 --> 1:13:07.080]  in signing executive orders doing that.
[1:13:07.080 --> 1:13:11.080]  And I guess in a way it's only karma or you reap what you sow,
[1:13:11.080 --> 1:13:13.080]  because we took it from the Indians.
[1:13:13.080 --> 1:13:14.080]  My ancestors did.
[1:13:14.080 --> 1:13:17.080]  And I guess it's being taken from us now by Europe.
[1:13:17.080 --> 1:13:21.080]  The people we ran away from to come to this country are now coming back
[1:13:21.080 --> 1:13:24.080]  and taking, I guess, charge of their slaves again.
[1:13:24.080 --> 1:13:28.080]  So again, this entire area is coming under United Nations Control.
[1:13:28.080 --> 1:13:33.080]  And it's been a process that started in 1968 and now is beginning to come to fruition.
[1:13:33.080 --> 1:13:37.080]  And now they're going to start restricting access to the park and other parks.
[1:13:37.080 --> 1:13:42.080]  And I'm sure in 10 years from now, after they've gradually gotten us used to losing control of our public lands,
[1:13:42.080 --> 1:13:46.080]  they'll start subdividing it for the corrupt top 20 corporations
[1:13:46.080 --> 1:13:51.080]  that make their money out of crime and manipulation of governments not out of creation.
[1:13:51.080 --> 1:13:54.080]  So that's what's going on here.
[1:13:54.080 --> 1:14:00.080]  And the middle class, be aware you are the enemy in this third world war that is silent.
[1:14:00.080 --> 1:14:04.080]  Have you seen the bronze plaque that's hanging up right inside that makes us an international biosphere?
[1:14:04.080 --> 1:14:05.080]  It says UNESCO, you know?
[1:14:05.080 --> 1:14:08.080]  Oh, okay. Yeah, now I know what you're talking about.
[1:14:08.080 --> 1:14:09.080]  Well, what's your opinion?
[1:14:09.080 --> 1:14:12.080]  Do you think America can run its parks or do you think we need international help?
[1:14:12.080 --> 1:14:14.080]  Oh, I think we can run our own parks.
[1:14:14.080 --> 1:14:15.080]  That's a personal opinion.
[1:14:15.080 --> 1:14:17.080]  It's not a, you know...
[1:14:17.080 --> 1:14:19.080]  We're not speaking for anyone else.
[1:14:19.080 --> 1:14:22.080]  Now, why do you think that we can run our own parks?
[1:14:22.080 --> 1:14:25.080]  Our own parks with a federal government here in the United States?
[1:14:25.080 --> 1:14:26.080]  Yes.
[1:14:26.080 --> 1:14:27.080]  Or each one individually?
[1:14:27.080 --> 1:14:30.080]  I think each one individually can do a wonderful job in running their own parks.
[1:14:30.080 --> 1:14:32.080]  Absolutely. Local control is always better.
[1:14:32.080 --> 1:14:34.080]  We're getting local control. Are you aware of that?
[1:14:34.080 --> 1:14:36.080]  Yes, I am aware that they're...
[1:14:36.080 --> 1:14:37.080]  Well, exactly, what's happening?
[1:14:37.080 --> 1:14:44.080]  A certain percentage of the fees, the increase in the fees, is going to stay in each park, each individual park.
[1:14:44.080 --> 1:14:46.080]  That's brand new. That's a whole new concept.
[1:14:46.080 --> 1:14:48.080]  And it's wonderful.
[1:14:48.080 --> 1:14:52.080]  And they've also increased the fees, which is also, I think, wonderful.
[1:14:52.080 --> 1:14:53.080]  Yeah.
[1:14:53.080 --> 1:14:55.080]  Doubled in some instances.
[1:14:55.080 --> 1:15:03.080]  And I just don't think you can pay enough to be in this kind of beauty and this kind of atmosphere.
[1:15:03.080 --> 1:15:04.080]  Well, I'm...
[1:15:04.080 --> 1:15:09.080]  That's my personal feeling. I think it's just a wonderful place.
[1:15:09.080 --> 1:15:15.080]  Well, it is wonderful that we have these national parks, but it's not wonderful that she's totally uninformed.
[1:15:15.080 --> 1:15:18.080]  Yes, they've doubled the rates. Yes, they plan to increase them more.
[1:15:18.080 --> 1:15:20.080]  And yes, they give the locales a small percentage.
[1:15:20.080 --> 1:15:25.080]  That's how they got them to sign on to the new federal, supernational program.
[1:15:25.080 --> 1:15:32.080]  But I asked her more and she, again, had never heard of the United Nations plaque hanging inside the place where she worked.
[1:15:32.080 --> 1:15:36.080]  It's all being done cunningly, gradually.
[1:15:36.080 --> 1:15:38.080]  Now the documentary changes.
[1:15:38.080 --> 1:15:41.080]  We're done with the national parks and the UN takeover.
[1:15:41.080 --> 1:15:51.080]  We're going to Oklahoma City and back to Austin, Texas to expose the UN here in town, taking over our youth.
[1:15:51.080 --> 1:15:55.080]  Ma'am, I want to ask you about KTAG. What exactly is KTAG?
[1:15:55.080 --> 1:15:59.080]  It's an automatic transponder, automatic toll system.
[1:15:59.080 --> 1:16:02.080]  You can get a little transponder even on your windshield.
[1:16:02.080 --> 1:16:04.080]  It opens the gate for you. You're billed for it.
[1:16:04.080 --> 1:16:07.080]  So you put an automatic transponder on your car?
[1:16:07.080 --> 1:16:11.080]  Part of the new smart highway system?
[1:16:11.080 --> 1:16:13.080]  I love it.
[1:16:13.080 --> 1:16:15.080]  I love it too.
[1:16:15.080 --> 1:16:18.080]  I'm going to get one right in my forehead.
[1:16:18.080 --> 1:16:20.080]  Thanks a lot.
[1:16:23.080 --> 1:16:26.080]  We just drove through a toll road here in Kansas.
[1:16:26.080 --> 1:16:30.080]  And they're putting in these chips in your cars where you just drive right through.
