[00:00.000 --> 00:20.000]  Music
[49:19.160 --> 49:21.160]  That's what I've been thinking about.
[49:21.160 --> 49:23.160]  You're right, they want you to know that they're ready.
[49:23.160 --> 49:33.160]  And maybe, you know, if that war comes over here, that war, you know, it probably will be more louder and stronger, you know?
[49:33.160 --> 49:34.160]  And again, your name one more time?
[49:34.160 --> 49:36.160]  Gracie Longoria.
[49:36.160 --> 49:37.160]  Gracie Longoria?
[49:37.160 --> 49:38.160]  From here, from Kinsville.
[49:38.160 --> 49:40.160]  Well, God bless you, and we appreciate you taking time.
[49:40.160 --> 49:41.160]  Well, God bless you too.
[49:41.160 --> 49:46.160]  Right here in Kingsville, Texas, every window in the Exxon building has been smashed out.
[49:46.160 --> 49:53.160]  Every single window, and they've come in and boarded up every single one of them.
[49:53.160 --> 49:54.160]  This is from the explosions.
[49:54.160 --> 50:04.160]  They came and blew a hole in the roof, we're told, and the large helicopters landed here, again, at the Exxon administrative building that's been shut down for some time.
[50:04.160 --> 50:16.160]  They blew a hole in the roof and inserted troops inside, and practiced killing the evil terrorist, and the police, again, were nearby helping as the relationship was growing.
[50:16.160 --> 50:20.160]  It's so much fun.
[50:20.160 --> 50:29.160]  Well, the entire front entrance that we're told was glass and metal by the lady across the street who will not speak on camera from the Kingsville Publishing Company,
[50:29.160 --> 50:37.160]  the local newspaper, the Kingsville Record, says that, yes, this was all metal, trimmed glass windows, and the entrance right here will all blown away.
[50:37.160 --> 50:41.160]  Only Imperial Stormtroopers are so precise.
[50:41.160 --> 50:42.160]  That's ridiculous.
[50:42.160 --> 50:45.160]  They blew out every window in the structure.
[50:45.160 --> 50:47.160]  Look at it.
[50:47.160 --> 50:48.160]  Must have been some powerful explosives.
[50:48.160 --> 50:53.160]  I'd like to see the inside of this building.
[50:53.160 --> 51:01.160]  And again, you got the newspaper right across the street, won't even talk to us.
[51:01.160 --> 51:04.160]  About the reporter that allegedly had his camera stolen.
[51:04.160 --> 51:05.160]  Judy Hayes.
[51:05.160 --> 51:06.160]  Judy Hayes, Alex Jones.
[51:06.160 --> 51:07.160]  Nice to meet you.
[51:07.160 --> 51:08.160]  Yes, sir.
[51:08.160 --> 51:09.160]  What's your position here?
[51:09.160 --> 51:11.160]  I'm the lieutenant in charge of the patrol division.
[51:11.160 --> 51:12.160]  Oh, fantastic.
[51:12.160 --> 51:16.160]  All I want is like a five or ten minute interview, so everybody can sit down.
[51:16.160 --> 51:20.160]  I'll answer a couple of questions for you, and then I have to be on my way out.
[51:20.160 --> 51:24.160]  I understand everybody's busy, and I appreciate you doing this.
[51:24.160 --> 51:26.160]  Can you say your name for the record and spell it?
[51:26.160 --> 51:30.160]  My name is Judy Hayes, J-U-D-Y-H-A-Y-E-S.
[51:30.160 --> 51:31.160]  Thanks a lot.
[51:31.160 --> 51:34.160]  We also make documentaries, by the way.
[51:34.160 --> 51:46.160]  We're told that Monday evening of this week, there was a Delta Force operation from Fort Bragg,
[51:46.160 --> 51:51.160]  otherwise known as Army Special Operations Command.
[51:51.160 --> 51:54.160]  Can you tell us how many helicopters were involved?
[51:54.160 --> 51:59.160]  I can tell you that Monday night, there was a joint training session between the United States Army
[51:59.160 --> 52:01.160]  and the Kingsville Police Department.
[52:01.160 --> 52:05.160]  The Army was doing some sort of extraction type thing.
[52:05.160 --> 52:07.160]  They used eight helicopters.
[52:07.160 --> 52:16.160]  Our training involved sealing off the area as if we were involved in taking care of a hazardous materials incident.
[52:16.160 --> 52:23.160]  So we were rerouting traffic and making sure that there was no civilian foot traffic in the area.
[52:23.160 --> 52:26.160]  So we got quite a bit of training in that area.
[52:26.160 --> 52:31.160]  Did any of your SWAT team, or I see you have two officers look like they're SWAT trained,
[52:31.160 --> 52:34.160]  did they assist the Delta Force in any way?
[52:34.160 --> 52:41.160]  The only participation on the part of the Kingsville Police Department was in a hazardous materials training session.
[52:41.160 --> 52:45.160]  We did not participate in any way with what the Army was doing.
[52:45.160 --> 52:46.160]  That's very helpful.
[52:46.160 --> 52:50.160]  We're also told that they were firing ceramic bullets.
[52:50.160 --> 52:53.160]  I have no idea about anything that the Army was doing.
[52:53.160 --> 52:56.160]  It would be a situation in which you would need to contact them.
[52:56.160 --> 53:01.160]  Well, yes, in Fort Bragg.
[53:01.160 --> 53:06.160]  Now, the Mayor had stated, or his office had stated that it was secret,
[53:06.160 --> 53:10.160]  but what y'all are saying is it was secret up to a point and then the Police Department went around
[53:10.160 --> 53:13.160]  and actually warned the citizens in the immediate area downtown.
[53:13.160 --> 53:18.160]  I have no idea where the word secret came from and I'm not going to respond to that.
[53:18.160 --> 53:25.160]  All I can tell you is that we did plan with the Army on this in order to get our training for hazardous materials
[53:25.160 --> 53:32.160]  and we did warn as many persons as possible in the immediate area and then moving out until we had to take our positions
[53:32.160 --> 53:35.160]  in order to take care of the traffic flow.
[53:35.160 --> 53:42.160]  So actually, the night of the event, several hours previous to the eight helicopters coming in,
[53:42.160 --> 53:47.160]  y'all did warn the general public in the area?
[53:47.160 --> 53:49.160]  We most certainly did.
[53:49.160 --> 53:53.160]  Are you familiar with the Chief Police of San Antonio, Alley Fetalpus?
[53:53.160 --> 53:54.160]  No, I'm not.
[53:54.160 --> 53:58.160]  The Deputy Chief is and we're told the Chief also knows him.
[53:58.160 --> 54:05.160]  I went down and did a breaking story back in May of 1998 where he threw out the Delta Force and I had him on tape.
[54:05.160 --> 54:08.160]  They attempted to bribe him. They endangered public safety.
[54:08.160 --> 54:13.160]  Many areas have let Delta train, but are you aware that in Miami they fired a bullet into an all night restaurant?
[54:13.160 --> 54:21.160]  I haven't got any idea of what you're talking about at all and that includes any operations by any one of that name.
[54:21.160 --> 54:23.160]  I know that we worked with the Army.
[54:23.160 --> 54:25.160]  Yes, Delta Force.
[54:25.160 --> 54:34.160]  Are you aware that it is highly dangerous to have helicopters at those low levels, especially that many in a small area?
[54:34.160 --> 54:40.160]  I think what you need to do is to talk to people who have training in that area and I would again refer you to the Army.
[54:40.160 --> 54:44.160]  Okay, one of my last questions and I do appreciate your time.
[54:44.160 --> 54:52.160]  Was there any money given to the city by the U.S. government to be able to carry out this exercise?
[54:52.160 --> 54:55.160]  I think you would need to talk to our finance director on that.
[54:55.160 --> 55:02.160]  Because the chief police of San Antonio and the mayor talked about, again, the attempted bribery and the cash money gifts to people and things.
[55:02.160 --> 55:07.160]  That's why it really became a big stink. It was in their paper for quite a long time.
[55:07.160 --> 55:15.160]  I can't comment on that kind of thing. I'd have no knowledge of it whatsoever and I've referred you to who you need to talk to.
[55:15.160 --> 55:21.160]  Hi, my name is Alex Jones from KGFK Radio and Austin also had a little TV show.
[55:21.160 --> 55:23.160]  How are you doing?
[55:23.160 --> 55:25.160]  Is the mayor in today?
[55:25.160 --> 55:29.160]  I'm not sure. You may want to check his office. Is it straight in?
[55:41.160 --> 55:44.160]  Is this the mayor's office? The city manager's office.
[55:44.160 --> 55:45.160]  City manager's office.
[55:45.160 --> 55:46.160]  Is he in?
[55:46.160 --> 55:48.160]  Yeah, he is. He's on the phone right now.
[55:48.160 --> 55:51.160]  I'd like to ask him two or three questions.
[55:51.160 --> 55:54.160]  What's your name again, sir? Carlos Larimer.
[55:54.160 --> 55:55.160]  Carlos Larimer?
[55:55.160 --> 55:56.160]  Yeah.
[55:56.160 --> 55:57.160]  Well, it's good to meet you, city manager.
[55:57.160 --> 55:59.160]  We'd just like to ask you some simple questions.
[55:59.160 --> 56:02.160]  I hope you don't mind if I sit down. I'm very tired.
[56:02.160 --> 56:05.160]  I've been walking around talking to people on the street all day.
[56:05.160 --> 56:12.160]  We're just curious about Army Special Operations from Fort Bragg coming here, Delta Force.
[56:12.160 --> 56:19.160]  And we'd like just basically to ask some questions about was the public informed beforehand?
[56:19.160 --> 56:24.160]  Are you all aware of the 10th Amendment and Posse Commentatus and things like that?
[56:24.160 --> 56:30.160]  No, I'm probably not aware of the 10th Amendment, but I made the decision not to inform the public
[56:30.160 --> 56:35.160]  because we would have had thousands of people around this area here and would have been a lot harder to control.
[56:35.160 --> 56:39.160]  I understand, sir. I wasn't trying to be sarcastic when I said it.
[56:39.160 --> 56:41.160]  I didn't think you were. I didn't think you were.
[56:41.160 --> 56:44.160]  Yeah. Well, I mean, certainly you are aware of the 10th Amendment, though.
[56:44.160 --> 56:51.160]  It states rights. And it's also Posse Commentatus is concerning federal troops.
[56:51.160 --> 56:56.160]  Working with local law enforcement in any area is expressly prohibited.
[56:56.160 --> 56:58.160]  And I'm not accusing you of doing something wrong.
[56:58.160 --> 57:01.160]  This has been done in literally hundreds of communities.
[57:01.160 --> 57:06.160]  I don't know if they told you that you were the first when they came here.
[57:06.160 --> 57:12.160]  I mean, I was the first of some current events or current exercises that they're going to have.
[57:12.160 --> 57:18.160]  But you chose just so it wouldn't be a public health risk, just so it wouldn't endanger the public,
[57:18.160 --> 57:21.160]  to not tell the public about the operation that was held here Monday.
[57:21.160 --> 57:22.160]  That's right.
[57:22.160 --> 57:26.160]  We were told at a local grocery store some people thought the bank was being robbed.
[57:26.160 --> 57:29.160]  Well, the bank is very close to here, you know.
[57:29.160 --> 57:33.160]  But the police were fully informed of it.
[57:33.160 --> 57:44.160]  As a matter of fact, they used an exercise to secure an area where we might have a hazardous material escape,
[57:44.160 --> 57:47.160]  like from a railroad tracks.
[57:47.160 --> 57:53.160]  We have trains that carry some materials that could be hazardous to you,
[57:53.160 --> 57:56.160]  and sometimes a hazardous or an accident on the bypass.
[57:56.160 --> 57:59.160]  So they practiced an exercise to secure an area.
[57:59.160 --> 58:01.160]  Oh, so local law enforcement actually worked with them?
[58:01.160 --> 58:03.160]  Yeah.
[58:03.160 --> 58:06.160]  Actually worked with Special Forces.
[58:06.160 --> 58:08.160]  Special Forces from Fort Bragg?
[58:08.160 --> 58:09.160]  Yeah.
[58:09.160 --> 58:10.160]  Delta Force?
[58:10.160 --> 58:11.160]  Yeah.
[58:11.160 --> 58:17.160]  Looking at your window, seeing unmarked helicopters and troops dressed in ninja black suits with assault rifles,
[58:17.160 --> 58:19.160]  it's kind of spooky.
[58:19.160 --> 58:25.160]  Well, I agree with Mr. Sanchez, head of emergency management in Clyberg County and in the city of Kingsville.
[58:25.160 --> 58:32.160]  And he wasn't warned, neither was the county commissioner's court or the county judge about what happened in Kingsville.
[58:32.160 --> 58:36.160]  Four days later, in part of Operation Last Dance,
[58:36.160 --> 58:41.160]  Port Aransas got a little visit, and the mayor, Mayor Glenn Martin, was not pleased.
[58:41.160 --> 58:45.160]  Nobody wants to get in their business, but we ought to be able to answer questions,
[58:45.160 --> 58:52.160]  especially when they're flying at dangerously low levels and alert the citizenry.
[58:52.160 --> 58:58.160]  We contacted the mayor of Port Aransas, and in the Corpus Christi collar times,
[58:58.160 --> 59:03.160]  he was also quoted as saying he was not warned of the impending raid.
[59:03.160 --> 59:08.160]  It can be termed nothing less than actual terrorism against the American people.
[59:08.160 --> 59:15.160]  By definition, terrorism seeks a political aim by scaring a population or a group of people.
[59:15.160 --> 59:18.160]  It's plain for all thinking people to see.
[59:18.160 --> 59:26.160]  America is in the process of a radical change, and I'm afraid to say it's not for the better.
[59:26.160 --> 59:30.160]  Alice, Texas, was next on the list for Delta Force training,
[59:30.160 --> 59:37.160]  and one of my listeners in my radio program dropped by and talked to the police chief of Alice, Jack D. Compton.
[59:37.160 --> 59:40.160]  What he found out was interesting.
[59:40.160 --> 59:45.160]  A very key piece of information came out.
[59:45.160 --> 59:51.160]  Foreign troops were involved in at least the Alice operation.
[59:51.160 --> 1:00:00.160]  You see, Jack D. Compton's comments didn't make much sense until about a month after Operation Last Dance,
[1:00:00.160 --> 1:00:07.160]  when Aniston, Alabama, got a visitation by 800 rangers accompanied by Russians.
[1:00:07.160 --> 1:00:13.160]  You'll find out later they actually turned the power off to part of the city because they felt like it.
[1:00:13.160 --> 1:00:16.160]  But let's go ahead and talk to the chief.
[1:00:16.160 --> 1:00:20.160]  Then we'll go and show you where Delta engaged in so of its training.
[1:00:20.160 --> 1:00:32.160]  Literally 100 feet from a backyard where children were at play.
[1:00:32.160 --> 1:00:44.160]  They need these trainings so specialized and what exactly the qualifications are that they need to change so much.
[1:00:44.160 --> 1:00:51.160]  They need to keep their skills at hold the razor blades they have to.
[1:00:51.160 --> 1:00:58.160]  They don't have time to look at their time to plan an operation and go in.
[1:00:58.160 --> 1:01:02.160]  They've got to make a move, make it fast.
[1:01:02.160 --> 1:01:09.160]  Time is of the essence and having their skills up to a high level is very important.
[1:01:09.160 --> 1:01:14.160]  But these are the people that you're going to call on bringing your terrorist activities.
[1:01:14.160 --> 1:01:15.160]  But who are the terrorists?
[1:01:15.160 --> 1:01:22.160]  It's certainly not Bill Clinton giving all of our nuclear weapons designs and enabling systems to the Chai comms.
[1:01:22.160 --> 1:01:29.160]  No, no, no, it's people like the Davidians or Randy and Vicki Weaver at Ruby Ridge, Idaho.
[1:01:29.160 --> 1:01:40.160]  We're the terrorists. We're the danger. We're the threat because we won't submit to total domination, total control, total slavery.
[1:01:40.160 --> 1:01:46.160]  Waco is a sterling example of this, the lies and corruption that were evidenced during their activities.
[1:01:46.160 --> 1:01:54.160]  But I forgot we had to save the children. That's why we burned the 17 little children to death.
[1:01:54.160 --> 1:02:00.160]  Again, to save them from the terrorist, the deadly dangerous terrorist, their parents.
[1:02:00.160 --> 1:02:08.160]  Can you tell us some of the, not necessarily some of the specifics, but some of the just certain reasons why, you know,
[1:02:08.160 --> 1:02:14.160]  they need these trainings so specialized and what exactly the qualifications are that they need to change so much.
[1:02:14.160 --> 1:02:19.160]  So if there's not any terrorist activity, these are going to be the men that address it.
[1:02:19.160 --> 1:02:26.160]  And they need to keep their skills at home the greater than they have to.
[1:02:26.160 --> 1:02:33.160]  And they don't have time to look at their time to plan an operation and go in.
[1:02:33.160 --> 1:02:37.160]  You know, I can't plan it forever. We've got to make it move fast.
[1:02:37.160 --> 1:02:44.160]  Towers are the essence and they're having their skills up to a high level.
[1:02:44.160 --> 1:02:49.160]  But these are the people that you don't call them, bring your terrorist activities.
[1:02:49.160 --> 1:02:53.160]  Well, yes, these are the people we're going to call on for terrorist activities.
[1:02:53.160 --> 1:02:59.160]  Delta Force, BATF, FBI, hostage rescue teams.
[1:02:59.160 --> 1:03:02.160]  They're training on military bases as we speak, ladies and gentlemen.
[1:03:02.160 --> 1:03:09.160]  They trained back in 93 before the assault on the Waco Church. That's right. It's not a compound.
[1:03:09.160 --> 1:03:16.160]  We need to get our priorities straight in this country and worry about our real national security risk,
[1:03:16.160 --> 1:03:23.160]  the real threats to our nation, like Bill Clinton, and the already forming global government that controls him.
[1:03:23.160 --> 1:03:30.160]  That's the crisis. That's the threat. Not our nation's people. Not America.
[1:03:30.160 --> 1:03:36.160]  Speaking of global government, let's go back and hear from Chief Police in Alice, Texas, Jack D. Compton.
[1:03:36.160 --> 1:03:42.160]  As he admits, foreign troops were on the ground during the training mission in Alice, Texas,
[1:03:42.160 --> 1:03:47.160]  during the terror mission in Alice, Texas. Make no mistake, that's what it's about.
[1:03:47.160 --> 1:03:56.160]  Again, training police, training the general public, training the military that working together for national security is a wonderful thing.
[1:03:56.160 --> 1:04:01.160]  I'm here to tell you, historically speaking, it is nothing less than a nightmare.
[1:04:01.160 --> 1:04:06.160]  Governments are the most dangerous creations on earth that are man-made.
[1:04:06.160 --> 1:04:12.160]  We've also learned that citizens in Alice were told that if they came outside their yards during the training exercise,
[1:04:12.160 --> 1:04:21.160]  they'd be taken to jail. I mean, this is getting more and more insane. The Bill of Rights is being flushed down the tubes.
[1:04:21.160 --> 1:04:26.160]  This government is training other so-called friendly countries? They are training friendly countries,
[1:04:26.160 --> 1:04:32.160]  and I'm not oblivious to giving their names, but I know that they are.
[1:04:32.160 --> 1:04:39.160]  They were there in Alice a couple weeks ago. They were so present, yes.
[1:04:39.160 --> 1:04:45.160]  They weren't involved in the training itself. They were there from the sidelines.
[1:04:45.160 --> 1:04:52.160]  Well, you just heard it, a police chief in a South Texas town, Jack D. Compton, saying that he's under liberty to discuss information,
[1:04:52.160 --> 1:05:00.160]  engage in supposed national security operations. What a convenient umbrella for the unfolding police state.
[1:05:00.160 --> 1:05:08.160]  But there's one problem with that whole argument. Why are foreign troops in almost all of these exercises, according to my sources?
[1:05:08.160 --> 1:05:17.160]  Why are they allowed to see all this secret activity? But the American people, in many cases, aren't even warned in the name of national security,
[1:05:17.160 --> 1:05:23.160]  because people like Walter Zulskowski, spokesperson for Army Special Operations at Fort Bragg,
[1:05:23.160 --> 1:05:29.160]  has stated many times in many publications that, well, we can't let the public know because we have to protect our tactics.
[1:05:29.160 --> 1:05:36.160]  Oh, I see. The foreign troops aren't your enemy. You just got to protect your tactics from your enemy, and that's obviously the American people.
[1:05:36.160 --> 1:05:40.160]  Can you describe how many and describe also the helicopters that were there?
[1:05:40.160 --> 1:05:52.160]  Well, the helicopters were blackhawks, and they came in black down. We didn't see them except in the skyline, and they were completely dark.
[1:05:52.160 --> 1:06:07.160]  And some of the Delta Force people repelled down the ropes to the helicopter, I mean, from the helicopter to the top of the building.
[1:06:07.160 --> 1:06:11.160]  So some landed there on the ground in the parking lot in this building.
[1:06:11.160 --> 1:06:15.160]  Was there any that hovered like above the building, and if so, how high?
[1:06:15.160 --> 1:06:23.160]  Only low enough. Oh, they was probably around 75 to 100 feet, but they came down on the ropes.
[1:06:23.160 --> 1:06:31.160]  And so once they injected the helicopters left, they came back in a few minutes and picked them up.
[1:06:31.160 --> 1:06:37.160]  They didn't go back up the ropes, they would pick up the helicopters on the ground.
[1:06:37.160 --> 1:06:50.160]  The noise level was not excessive. Inside that brick building, the noises were muffled.
[1:06:50.160 --> 1:06:58.160]  You didn't hear a great deal. And the loudest noises didn't come from explosives.
[1:06:58.160 --> 1:07:07.160]  I think what we call flashbangs, that's a distraction device that makes an excessive noise and a very bright flash.
[1:07:07.160 --> 1:07:13.160]  The charges they used to breach doors, they were just enough to breach the door.
[1:07:13.160 --> 1:07:19.160]  They were just coming and dropping off people and bombing and shooting their guns.
[1:07:19.160 --> 1:07:21.160]  They had guns?
[1:07:21.160 --> 1:07:25.160]  Yeah, they were just practicing. They had closed up all the roads and everything.
[1:07:25.160 --> 1:07:29.160]  Did you see any men? What kind of uniforms they had on?
[1:07:29.160 --> 1:07:37.160]  No, they didn't let us get out of our gates because if we did, they said we would be arrested.
[1:07:37.160 --> 1:07:40.160]  Did you see the Alice Police Department there?
[1:07:40.160 --> 1:07:42.160]  Yeah, they had all the roads blocked.
[1:07:42.160 --> 1:07:44.160]  So they were like working together?
[1:07:44.160 --> 1:07:48.160]  Yeah, they were in the sheriff's office.
[1:07:48.160 --> 1:07:57.160]  The J.E. Poultry Company, an abandoned poultry plant, was the site of Delta Force training in Alice, Texas.
[1:07:57.160 --> 1:08:01.160]  Literally smack dab in the middle of a residential area.
[1:08:01.160 --> 1:08:04.160]  As I said, where children were at play.
[1:08:04.160 --> 1:08:08.160]  You know, I wish I could say that these operations were just a blunder,
[1:08:08.160 --> 1:08:14.160]  an irresponsible activity on part of the Department of Defense.
[1:08:14.160 --> 1:08:18.160]  Ladies and gentlemen, it's clear it's being done on purpose.
[1:08:29.160 --> 1:08:33.160]  And don't forget Gracie. She lives in Casa Ricardo,
[1:08:33.160 --> 1:08:37.160]  a retirement home that was right across the street from the detectives building,
[1:08:37.160 --> 1:08:39.160]  the old detectives building in Kingsville,
[1:08:39.160 --> 1:08:46.160]  old folks homes, residential areas, all part of training the American people and police
[1:08:46.160 --> 1:08:54.160]  to accept visitations by black helicopters bearing armed men in black ski masks with automatic weapons.
[1:08:54.160 --> 1:08:59.160]  Again, Americans are being designated as the new threat.
[1:08:59.160 --> 1:09:04.160]  Not the Chycoms, not the Russians, not the socialists that are running this nation.
[1:09:04.160 --> 1:09:07.160]  They've taken over, my friends.
[1:09:07.160 --> 1:09:13.160]  Unfortunately, the strange military activities are not localized only in Texas.
[1:09:13.160 --> 1:09:17.160]  They're happening all across the nation and with increased frequency,
[1:09:17.160 --> 1:09:23.160]  literally hundreds of so-called training missions terrorizing the public.
[1:09:23.160 --> 1:09:27.160]  You heard the police chief of Alice, Texas tell us that,
[1:09:27.160 --> 1:09:31.160]  well, there were some foreign troops, but I can't talk about it.
[1:09:31.160 --> 1:09:37.160]  Well, the sheriff, Larry Ameshin, sure talked about it from Aniston, Alabama.
[1:09:37.160 --> 1:09:41.160]  He wasn't told that 800 Rangers with a contingent of Russian troops
[1:09:41.160 --> 1:09:45.160]  were going to be visiting the Aniston Municipal Airport.
[1:09:45.160 --> 1:09:49.160]  They didn't even warn the public when they turned the power off,
[1:09:49.160 --> 1:09:52.160]  not by accident, but on purpose.
[1:09:52.160 --> 1:09:57.160]  Again, if this doesn't make it clear that this is out of control psychological warfare
[1:09:57.160 --> 1:10:04.160]  upon the American people, psyops testing, I don't know what will make it clear to you, America.
[1:10:04.160 --> 1:10:08.160]  This is a crisis of pandemic proportions.
[1:10:08.160 --> 1:10:14.160]  Imagine sitting down to have dinner and suddenly the power goes off at 9 o'clock at night.
[1:10:14.160 --> 1:10:17.160]  A few minutes later, you hear automatic weapons fire.
[1:10:17.160 --> 1:10:20.160]  You walk outside, black helicopters, structures on fire.
[1:10:20.160 --> 1:10:26.160]  That's what happened at the Aniston Municipal Airport back in March of 1999.
[1:10:26.160 --> 1:10:30.160]  And again, the sheriff was not even notified, Larry Ameshin.
[1:10:30.160 --> 1:10:35.160]  But our good friends, the Russians, oh, it was okay to tell them all about it.
[1:10:35.160 --> 1:10:42.160]  And they were even allowed to join in on the fun, the terrorizing of the American public.
[1:10:42.160 --> 1:10:44.160]  Thank you, Bill Clinton.
[1:10:44.160 --> 1:10:47.160]  Lest you think it's just special operations from the Army and the Navy
[1:10:47.160 --> 1:10:51.160]  that have been engaging in this treacherous activity, think twice.
[1:10:51.160 --> 1:10:59.160]  The Army National Guard is engaging in the same type activities minus the live fire and burning structures.
[1:10:59.160 --> 1:11:07.160]  But when it came to the practice takeover of a private civilian airport, all the same.
[1:11:07.160 --> 1:11:09.160]  In Temple, Texas.
[1:11:09.160 --> 1:11:12.160]  So are y'all just in support of the takeover of the airport?
[1:11:12.160 --> 1:11:15.160]  Uh, yes.
[1:11:15.160 --> 1:11:17.160]  That's what they just told us over there.
[1:11:17.160 --> 1:11:20.160]  So yes, y'all are just supporting the officers of the takeover of the airport.
[1:11:20.160 --> 1:11:22.160]  Yes.
[1:11:22.160 --> 1:11:27.160]  And we were telling us it could be for here in the U.S. or overseas?
[1:11:27.160 --> 1:11:29.160]  Possibly.
[1:11:29.160 --> 1:11:31.160]  Well, they tell you all that, huh?
[1:11:31.160 --> 1:11:34.160]  Yeah, we're just working out of it.
[1:11:34.160 --> 1:11:39.160]  Because we have aircraft, we're supporting the aircraft, so you have to have an airfield, so we just...
[1:11:39.160 --> 1:11:41.160]  Just getting the local authorities used to working?
[1:11:41.160 --> 1:11:42.160]  Yeah.
[1:11:42.160 --> 1:11:43.160]  Working together.
[1:11:43.160 --> 1:11:52.160]  Oh, I'm sorry.
[1:11:52.160 --> 1:11:56.160]  Our soldiers are now authorized to make any comments or anything.
[1:11:56.160 --> 1:11:59.160]  Oh, okay, the soldiers are authorized to talk to us?
[1:11:59.160 --> 1:12:02.160]  We are authorized to make any comments or anything.
[1:12:02.160 --> 1:12:10.160]  Okay, okay.
[1:12:10.160 --> 1:12:13.160]  Are y'all out here when the Czech troops were here?
[1:12:13.160 --> 1:12:17.160]  Yes, they were here on Wednesday.
[1:12:17.160 --> 1:12:18.160]  Oh, the Czech troops were?
[1:12:18.160 --> 1:12:19.160]  Uh-huh, yeah.
[1:12:19.160 --> 1:12:20.160]  What were they doing?
[1:12:20.160 --> 1:12:22.160]  They just...
[1:12:22.160 --> 1:12:25.160]  I think they were just stopping by, I don't know.
[1:12:25.160 --> 1:12:26.160]  They were just stopping by?
[1:12:26.160 --> 1:12:27.160]  Uh-huh.
[1:12:27.160 --> 1:12:29.160]  Y'all are just Army reserves, aren't you?
[1:12:29.160 --> 1:12:31.160]  Yeah, we are Army National Guard.
[1:12:31.160 --> 1:12:35.160]  We're here for two weeks, 18 Temple, Texas.
[1:12:35.160 --> 1:12:38.160]  So basically, this isn't a Delta Force operation?
[1:12:38.160 --> 1:12:39.160]  No, it's not.
[1:12:39.160 --> 1:12:40.160]  No, it's not.
[1:12:40.160 --> 1:12:42.160]  You know, they visited Texas back in February?
[1:12:42.160 --> 1:12:43.160]  Yes.
[1:12:43.160 --> 1:12:44.160]  Uh-huh.
[1:12:44.160 --> 1:12:45.160]  There were some buildings that got burned.
[1:12:45.160 --> 1:12:46.160]  The police chief threw them out.
[1:12:46.160 --> 1:12:47.160]  Yeah.
[1:12:47.160 --> 1:12:49.160]  San Antonio Alley and Philippus, he's former Army intelligence,
[1:12:49.160 --> 1:12:50.160]  just like the military.
[1:12:50.160 --> 1:12:51.160]  Yeah.
[1:12:51.160 --> 1:12:53.160]  They fired in an all-night restaurant, too.
[1:12:53.160 --> 1:12:54.160]  Kind of a big stink.
[1:12:54.160 --> 1:12:57.160]  Yeah, I think the best way to find out about the Czech
[1:12:57.160 --> 1:12:59.160]  is when I operate some people down here.
[1:12:59.160 --> 1:13:00.160]  Operation people?
[1:13:00.160 --> 1:13:01.160]  Yeah, in the front.
[1:13:01.160 --> 1:13:03.160]  So basically, y'all are just all maneuvers.
[1:13:03.160 --> 1:13:05.160]  I live in Austin, and I literally saw them
[1:13:05.160 --> 1:13:06.160]  maybe in the same helicopters,
[1:13:06.160 --> 1:13:08.160]  but over a three-day period last week,
[1:13:08.160 --> 1:13:10.160]  I saw hundreds of helicopters.
[1:13:10.160 --> 1:13:12.160]  I even saw a Russian hind.
[1:13:12.160 --> 1:13:14.160]  Are y'all practicing in those or something?
[1:13:14.160 --> 1:13:15.160]  No, no, we're not.
[1:13:15.160 --> 1:13:17.160]  I heard we missed the Czech troops.
[1:13:17.160 --> 1:13:18.160]  The Czech troops.
[1:13:18.160 --> 1:13:20.160]  You ever heard there were some Czechoslovakian troops here?
[1:13:20.160 --> 1:13:22.160]  Yeah, there were some Czechoslovakian officers here.
[1:13:22.160 --> 1:13:23.160]  Oh, really?
[1:13:23.160 --> 1:13:25.160]  Or were they just checking out how the U.S. operates?
[1:13:25.160 --> 1:13:26.160]  I'm not sure.
[1:13:26.160 --> 1:13:28.160]  They were with the Public Affairs Office out here.
[1:13:28.160 --> 1:13:29.160]  Oh, really?
[1:13:29.160 --> 1:13:30.160]  What's your name, sir?
[1:13:30.160 --> 1:13:32.160]  Major Canyon.
[1:13:32.160 --> 1:13:33.160]  Major Canyon.
[1:13:33.160 --> 1:13:35.160]  What is the exercise y'all are conducting here
[1:13:35.160 --> 1:13:38.160]  at the Temple, Texas Municipal Airport?
[1:13:38.160 --> 1:13:40.160]  Okay, we're here acting like we're being deployed
[1:13:40.160 --> 1:13:42.160]  and occupying an airport,
[1:13:42.160 --> 1:13:43.160]  and then staging out of here
[1:13:43.160 --> 1:13:46.160]  and operating our missions out of the airport.
[1:13:46.160 --> 1:13:47.160]  Did you get that, Mike?
[1:13:47.160 --> 1:13:48.160]  Yeah.
[1:13:48.160 --> 1:13:51.160]  Anyways, of course this is for overseas troops.
[1:13:51.160 --> 1:13:54.160]  Either overseas or something local.
[1:13:54.160 --> 1:13:58.160]  So are y'all just in support of the takeover of the airport?
[1:13:58.160 --> 1:14:01.160]  Uh, yes.
[1:14:01.160 --> 1:14:03.160]  That's what they just told us over there, sir.
[1:14:03.160 --> 1:14:05.160]  So yes, y'all are just supporting the officers
[1:14:05.160 --> 1:14:06.160]  of the takeover of the airport?
[1:14:06.160 --> 1:14:08.160]  Yes.
[1:14:08.160 --> 1:14:11.160]  And we were telling us it could be for here in the U.S.
